Loaded snapshot from engines/pizza-memory/idx/snapshot (5032104 docs) in 29.27s (compact: 19552ms)
Ready. Waiting for queries on stdin...
PHRASE_DEBUG doc=2189256 pf=1 dl=704 avg_dl=264.4602 idf_sum=15.579526 score=9.273971
PHRASE_DEBUG doc=2194755 pf=1 dl=768 avg_dl=264.4602 idf_sum=15.579526 score=8.757854
PHRASE_DEBUG doc=2217672 pf=2 dl=128 avg_dl=264.4602 idf_sum=15.579526 score=25.058420
PHRASE_DEBUG doc=2234949 pf=2 dl=112 avg_dl=264.4602 idf_sum=15.579526 score=25.567322
PHRASE_DEBUG doc=2335409 pf=1 dl=224 avg_dl=264.4602 idf_sum=15.579526 score=16.619715
PHRASE_DEBUG doc=2344827 pf=1 dl=480 avg_dl=264.4602 idf_sum=15.579526 score=11.683918
PHRASE_DEBUG doc=2396027 pf=1 dl=192 avg_dl=264.4602 idf_sum=15.579526 score=17.546251
PHRASE_DEBUG doc=2462795 pf=3 dl=1536 avg_dl=264.4602 idf_sum=15.579526 score=12.058383
PHRASE_DEBUG doc=2467520 pf=1 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=11.265699
PHRASE_DEBUG doc=2578545 pf=2 dl=5120 avg_dl=264.4602 idf_sum=15.579526 score=3.475427
PHRASE_DEBUG doc=2589626 pf=1 dl=320 avg_dl=264.4602 idf_sum=15.579526 score=14.346926
PHRASE_DEBUG doc=2695998 pf=1 dl=192 avg_dl=264.4602 idf_sum=15.579526 score=17.546251
PHRASE_DEBUG doc=2767255 pf=1 dl=176 avg_dl=264.4602 idf_sum=15.579526 score=18.049372
PHRASE_DEBUG doc=2791532 pf=3 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=14.240807
PHRASE_DEBUG doc=2797205 pf=1 dl=288 avg_dl=264.4602 idf_sum=15.579526 score=15.032154
PHRASE_DEBUG doc=2801161 pf=1 dl=1536 avg_dl=264.4602 idf_sum=15.579526 score=5.251055
PHRASE_DEBUG doc=2820228 pf=2 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=16.957655
PHRASE_DEBUG doc=2835238 pf=1 dl=192 avg_dl=264.4602 idf_sum=15.579526 score=17.546251
PHRASE_DEBUG doc=2842971 pf=1 dl=288 avg_dl=264.4602 idf_sum=15.579526 score=15.032154
PHRASE_DEBUG doc=2968208 pf=1 dl=3328 avg_dl=264.4602 idf_sum=15.579526 score=2.714695
PHRASE_DEBUG doc=3020682 pf=1 dl=320 avg_dl=264.4602 idf_sum=15.579526 score=14.346926
PHRASE_DEBUG doc=3189587 pf=1 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=7.163248
PHRASE_DEBUG doc=3195163 pf=1 dl=288 avg_dl=264.4602 idf_sum=15.579526 score=15.032154
PHRASE_DEBUG doc=3204626 pf=1 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=7.163248
PHRASE_DEBUG doc=3291176 pf=1 dl=3584 avg_dl=264.4602 idf_sum=15.579526 score=2.539465
PHRASE_DEBUG doc=3292263 pf=1 dl=2048 avg_dl=264.4602 idf_sum=15.579526 score=4.144660
PHRASE_DEBUG doc=3298202 pf=4 dl=6144 avg_dl=264.4602 idf_sum=15.579526 score=5.438526
PHRASE_DEBUG doc=3298218 pf=1 dl=1792 avg_dl=264.4602 idf_sum=15.579526 score=4.632715
PHRASE_DEBUG doc=3309052 pf=2 dl=1664 avg_dl=264.4602 idf_sum=15.579526 score=8.608710
PHRASE_DEBUG doc=3316025 pf=1 dl=352 avg_dl=264.4602 idf_sum=15.579526 score=13.721444
PHRASE_DEBUG doc=3320220 pf=5 dl=576 avg_dl=264.4602 idf_sum=15.579526 score=23.604631
PHRASE_DEBUG doc=3415266 pf=1 dl=832 avg_dl=264.4602 idf_sum=15.579526 score=8.296154
PHRASE_DEBUG doc=3465445 pf=1 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=6.565532
PHRASE_DEBUG doc=3476470 pf=2 dl=3584 avg_dl=264.4602 idf_sum=15.579526 score=4.728585
PHRASE_DEBUG doc=3595052 pf=23 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=29.431734
PHRASE_DEBUG doc=3595059 pf=1 dl=3840 avg_dl=264.4602 idf_sum=15.579526 score=2.385485
PHRASE_DEBUG doc=3683381 pf=2 dl=384 avg_dl=264.4602 idf_sum=15.579526 score=19.005676
PHRASE_DEBUG doc=3732600 pf=1 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=7.163248
PHRASE_DEBUG doc=3783568 pf=1 dl=1408 avg_dl=264.4602 idf_sum=15.579526 score=5.626550
PHRASE_DEBUG doc=3802603 pf=1 dl=1664 avg_dl=264.4602 idf_sum=15.579526 score=4.922543
PHRASE_DEBUG doc=3808833 pf=1 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=6.565532
PHRASE_DEBUG doc=3809836 pf=1 dl=6656 avg_dl=264.4602 idf_sum=15.579526 score=1.431020
PHRASE_DEBUG doc=3812651 pf=1 dl=6144 avg_dl=264.4602 idf_sum=15.579526 score=1.543291
PHRASE_DEBUG doc=3846312 pf=1 dl=80 avg_dl=264.4602 idf_sum=15.579526 score=21.799904
PHRASE_DEBUG doc=3877625 pf=1 dl=176 avg_dl=264.4602 idf_sum=15.579526 score=18.049372
PHRASE_DEBUG doc=3881183 pf=1 dl=256 avg_dl=264.4602 idf_sum=15.579526 score=15.786119
PHRASE_DEBUG doc=3920327 pf=1 dl=144 avg_dl=264.4602 idf_sum=15.579526 score=19.147436
PHRASE_DEBUG doc=4045892 pf=11 dl=1536 avg_dl=264.4602 idf_sum=15.579526 score=22.812296
PHRASE_DEBUG doc=4090525 pf=1 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=11.265699
PHRASE_DEBUG doc=4123016 pf=1 dl=832 avg_dl=264.4602 idf_sum=15.579526 score=8.296154
PHRASE_DEBUG doc=4128141 pf=1 dl=320 avg_dl=264.4602 idf_sum=15.579526 score=14.346926
PHRASE_DEBUG doc=4352146 pf=2 dl=112 avg_dl=264.4602 idf_sum=15.579526 score=25.567322
PHRASE_DEBUG doc=4717699 pf=1 dl=960 avg_dl=264.4602 idf_sum=15.579526 score=7.504865
PHRASE_DEBUG doc=4755529 pf=1 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=7.163248
PHRASE_DEBUG doc=4970340 pf=1 dl=96 avg_dl=264.4602 idf_sum=15.579526 score=21.070198
PHRASE_DEBUG doc=4999986 pf=1 dl=2304 avg_dl=264.4602 idf_sum=15.579526 score=3.749635
